smiles,Mol ID,canonical_smiles
COC1=CC=CC(C2(CNC3=C4C=NN(C)C4=NC(NCC4=CC(Cl)=CC=C4)=N3)CCC2)=N1,MOL_635,COc1cccc(C2(CNc3nc(NCc4cccc(Cl)c4)nc4c3cnn4C)CCC2)n1
N#CC1=CC(C2=CN(CC3CCCN(C(=O)C4=CNC5=NC=CC=C45)C3)N=N2)=CC=C1F,MOL_636,N#Cc1cc(-c2cn(CC3CCCN(C(=O)c4c[nH]c5ncccc45)C3)nn2)ccc1F
CCC1(C(=O)NCC2=NC(C3=NC(C4=CC=NC=C4F)=CS3)=CS2)CCCC1O,MOL_637,CCC1(C(=O)NCc2nc(-c3nc(-c4ccncc4F)cs3)cs2)CCCC1O
CCC1=C(C2=CSC(C3=CC=NC=C3)=N2)SC=N1,MOL_638,CCc1ncsc1-c1csc(-c2ccncc2)n1
CC1=NC=CN2C(NC(C)C)=C(C3=NC=CC=C3F)N=C12,MOL_639,Cc1nccn2c(NC(C)C)c(-c3ncccc3F)nc12
Cc1cc(-c2ccc3n[nH]cc3c2)nc(Cl)c1N,MOL_640,Cc1cc(-c2ccc3n[nH]cc3c2)nc(Cl)c1N
O=C1NC=CC=C1CNC1=NC2=C(F)C=C(F)C=C2C(N[C@H]2C[C@@H]2C2=CC(Cl)=CC=C2)=N1,MOL_641,O=c1[nH]cccc1CNc1nc(N[C@H]2C[C@@H]2c2cccc(Cl)c2)c2cc(F)cc(F)c2n1
CC1=NC(C2=NC3=NC=CC=C3N=C2C)=CS1,MOL_642,Cc1nc(-c2nc3ncccc3nc2C)cs1
CN1C=C(C2=NC(C(=O)N3CCN(CC4=CC=CC=N4)C(=O)C3)=CS2)C=N1,MOL_643,Cn1cc(-c2nc(C(=O)N3CCN(Cc4ccccn4)C(=O)C3)cs2)cn1
COC1=NC=CC=C1C(C)NC1=C2C(F)=CC=CC2=NC(NCC2=CC=NC=C2N)=N1,MOL_644,COc1ncccc1C(C)Nc1nc(NCc2ccncc2N)nc2cccc(F)c12
CC1=C(Cl)C=CN2C(NCC3CC3)=C(C3=NC=CC=C3F)N=C12,MOL_645,Cc1c(Cl)ccn2c(NCC3CC3)c(-c3ncccc3F)nc12
CC1=CC=CC(C2=NC(C(=O)NC3=CC=C(C4=NNC5=C4COCC5)C=C3)=CS2)=N1,MOL_646,Cc1cccc(-c2nc(C(=O)Nc3ccc(-c4n[nH]c5c4COCC5)cc3)cs2)n1
Cc1nc(-c2ccc3oc(N)nc3c2)cc(=O)[nH]1,MOL_647,Cc1nc(-c2ccc3oc(N)nc3c2)cc(=O)[nH]1
COC1=CC=CC=C1[C@@H](C)NC1=C2C(=NC(N3CCN(C)C(C)(C)C3)=N1)C(C)=NN2C,MOL_648,COc1ccccc1[C@@H](C)Nc1nc(N2CCN(C)C(C)(C)C2)nc2c(C)nn(C)c12
CC(C)[C@H](NC(=O)C1=CC=C2NCCCC2=C1)C1=CSC(C2=CC=C(S(C)(=O)=O)C=C2)=N1,MOL_649,CC(C)[C@H](NC(=O)c1ccc2c(c1)CCCN2)c1csc(-c2ccc(S(C)(=O)=O)cc2)n1
CCCC1=NNC(C(=O)N2CCO[C@@H](C3=CN(C4=CC=C(C(F)(F)F)N=C4)N=N3)C2)=C1,MOL_650,CCCc1cc(C(=O)N2CCO[C@@H](c3cn(-c4ccc(C(F)(F)F)nc4)nn3)C2)[nH]n1
CCC1=NC(C2=CC=C(C(=O)N3CCOC(CN(CC)C4=CC=CN=N4)C3)C=C2)=NN1,MOL_651,CCc1nc(-c2ccc(C(=O)N3CCOC(CN(CC)c4cccnn4)C3)cc2)n[nH]1
CC1=CC(C2=CN=C(NC(=O)C3=CSC(C4=CC=CO4)=N3)N2C)=CC=C1O,MOL_652,Cc1cc(-c2cnc(NC(=O)c3csc(-c4ccco4)n3)n2C)ccc1O
