smiles,Similarity,MW,LogP,HBD,HBA,TPSA,RotB
CCC1=CN=CC(C(=O)N2CCN3CCN(C4=NC(C5=CC=NN5C)=CC=N4)CC3C2)=C1,0.22,432.5320000000001,1.4810999999999994,0.0,7.0,83.28000000000002,4.0
CNC1=NC=CC(C2=C(C3=CSC(C(F)(F)F)=N3)C=CS2)=N1,0.21951219512195122,342.371,4.389100000000002,1.0,6.0,50.7,3.0
COC1=CC=CC=C1C(CF)NC1=NC(C)=NC(N2CCC(C)=C(C3=CC=NC=C3)C2)=N1,0.21875,434.51900000000023,4.390120000000003,1.0,7.0,76.06,7.0
COC1=CC=CC=C1C(NC1=NC=NC2=NN(C)C=C12)C1CC1,0.21839080459770116,309.3730000000001,2.935100000000001,1.0,5.0,64.86,5.0
CC(O)C1=CN(CC(=O)N2CCC(C3=NC(C4=CN(C)C5=CC=CC=C45)=CS3)CC2)N=N1,0.21782178217821782,450.56800000000015,3.352800000000002,1.0,6.0,89.07000000000001,5.0
CCOC1=CC=CC=C1C(C)NC1=C2C=NN(C)C2=NC(N2CCCN(C3=CC(C)=CC=C3)CC2)=N1,0.21782178217821782,485.63600000000037,4.960220000000004,1.0,7.0,71.34,7.0
CCC1=CC=C2CN(C3=C4N=CN(C)C4=NC(N[C@@H](C)C4=CC=CC=C4OC)=N3)CCC2=C1,0.21782178217821782,442.5670000000003,4.670100000000004,1.0,6.0,68.10000000000001,6.0
COC1=CC=CC=C1C(C)NC1=NC2=CC=CN=C2C(N2CCN3N=C(C)N=C3C2)=N1,0.21649484536082475,416.48900000000026,3.126620000000001,1.0,8.0,93.88,5.0
COC1=CC=C(OC)C(C2=NNC(C(=O)N3CCN(C)C(C4=NC=CN4)C3)=C2)=C1,0.21649484536082475,396.4510000000001,1.9458999999999995,2.0,6.0,99.37,5.0
COC(=O)C1=CC(C(=O)N2CCC(C)N(C3=NC(C4=CC=CC=C4F)=CC=N3)CC2)=CC=N1,0.21649484536082475,449.4860000000001,3.205300000000001,0.0,7.0,88.52000000000001,4.0
O[C@H]1CCN(C2=CN=CC(C3=CNC4=NC=CC=C34)=N2)C1,0.2159090909090909,281.319,1.5908999999999998,2.0,5.0,77.92999999999999,2.0
COC1=CC=CC(C(C)C(=O)N2CCN(C3=NC(C4=CNC5=NC=CC=C45)=CS3)CC2)=C1,0.21568627450980393,447.56400000000014,4.147300000000003,1.0,6.0,74.35,5.0
CN1C=C(C2=NC3=NC=CN=C3N2)C2=CC=CN=C21,0.21518987341772153,250.26500000000004,1.9065999999999996,1.0,4.0,72.28,1.0
C[C@H]1C(C(=O)NCC2=NC(C3=NC(C4=CN(C)C5=CC=CC=C45)=CS3)=CS2)[C@@H]1C,0.21505376344086022,422.57900000000006,4.943500000000004,1.0,5.0,59.81,5.0
COC1=NC=CC=C1NC1=NC(C2CCN2C(=O)C2=CC(C(C)=O)=CC=C2)=CS1,0.21428571428571427,408.4830000000001,4.080100000000003,1.0,7.0,84.41999999999999,6.0
CC1=C(C2=CSC(CC3CCN(C(=O)C4=NC=CC5=CC=NC=C45)CC3)=N2)C=CO1,0.21428571428571427,418.52200000000016,4.749620000000004,0.0,6.0,72.12,4.0
COC(=O)C1=CC(C(=O)N2CCC(NC3=NC=CC(C4=COC=C4)=N3)C(F)C2)=CS1,0.21359223300970873,430.4610000000001,3.2494000000000014,1.0,8.0,97.56,5.0
COC1=CC=CC=C1C(NC1=CC2=NC=CN2C(O)=N1)C1CC1,0.21348314606741572,310.3570000000001,3.0067000000000004,2.0,5.0,71.68,5.0
